overall_rank,div_rank,Nombre,Apellido,Categoria,tiempo oficial,tiempo neto,sexo,bib,nationality,swim,bike,run_first,run_last
69,13 / 70,Diego Ariel Rondona,,35-39 M,00:44:20,00:44:16,,137,,,,,
70,14 / 81,Ciarlo Damian,,25-29 M,00:45:03,00:44:24,,863,,,,,
71,9 / 68,Jose Chafranski,,40-44 M,00:44:29,00:44:26,,873,,,,,
72,3 / 39,Luisa Korn,,35-39 F,00:44:39,00:44:27,,31,,,,,
73,10 / 77,Almiron Lucas,,30-34 M,00:44:35,00:44:33,,235,,,,,
74,10 / 68,Nakasaki Diaz Javier E,,40-44 M,00:44:42,00:44:40,,540,,,,,
75,14 / 70,Martinez Esteban,,35-39 M,00:44:55,00:44:53,,1205,,,,,
76,11 / 77,Diaz Marcelo,,30-34 M,00:45:03,00:44:54,,757,,,,,
77,1 / 20,Troffe María De Los Angeles,,45-49 F,00:44:56,00:44:55,,708,,,,,
78,12 / 77,Eduardo Daniel Sofia,,30-34 M,00:45:02,00:44:58,,443,,,,,
79,1 / 8,Brea Geronimo,,1-17 M,00:45:49,00:44:58,,187,,,,,
80,9 / 53,Maltha Daniel Ernest,,45-49 M,00:45:46,00:45:06,,223,,,,,
81,15 / 81,Alejandro Baggieri,,25-29 M,00:45:17,00:45:08,,104,,,,,
82,16 / 81,Leonel Matias Babio,,25-29 M,00:45:55,00:45:19,,576,,,,,
83,10 / 53,Coluccio Sergio,,45-49 M,00:45:26,00:45:20,,755,,,,,
84,6 / 47,Escobar Daniel Antonio,,18-24 M,00:45:27,00:45:20,,763,,,,,
85,17 / 81,Andriotti Fabian Ezequiel,,25-29 M,00:45:29,00:45:21,,722,,,,,
86,11 / 68,Myeynet Ariel,,40-44 M,00:46:00,00:45:27,,861,,,,,
87,12 / 68,Fernandez Sergio Samuel,,40-44 M,00:45:32,00:45:31,,1135,,,,,
88,15 / 70,Tripicio Yair,,35-39 M,00:45:38,00:45:32,,529,,,,,
89,11 / 53,Honczaryk Marcelo Daniel,,45-49 M,00:45:41,00:45:35,,1309,,,,,
90,1 / 35,Lopez Portina Gabriela,,30-34 F,00:45:46,00:45:39,,1189,,,,,
91,7 / 47,Picco Juan Ignacio,,18-24 M,00:45:50,00:45:39,,482,,,,,
92,3 / 27,Maria Laura Goldman Fort,,25-29 F,00:45:46,00:45:42,,437,,,,,
93,12 / 53,Hernandez Gabriel Pablo,,45-49 M,00:45:49,00:45:47,,237,,,,,
94,4 / 27,Brancos Juliana,,25-29 F,00:46:10,00:45:47,,1311,,,,,
95,13 / 68,Santillan Gustavo Andres,,40-44 M,00:46:11,00:45:57,,806,,,,,
96,16 / 70,Lucero Claudio,,35-39 M,00:47:46,00:45:57,,807,,,,,
97,14 / 68,Ariel Heinze,,40-44 M,00:46:22,00:46:05,,239,,,,,
98,18 / 81,Monachesi Sebastián,,25-29 M,00:46:54,00:46:05,,268,,,,,
99,19 / 81,Torales German Nicolas,,25-29 M,00:47:55,00:46:10,,1104,,,,,
100,- / 32,Hernan Dambrosio,,0-0 M,00:46:21,00:46:11,,75,,,,,
101,15 / 68,Diego Valdman,,40-44 M,00:46:20,00:46:12,,175,,,,,
102,17 / 70,Juan Manuel Panizza,,35-39 M,00:46:18,00:46:14,,309,,,,,
103,8 / 47,Fernandez Alan Nicolas,,18-24 M,00:46:50,00:46:20,,511,,,,,
104,13 / 77,Chuliber Fernando,,30-34 M,00:46:26,00:46:22,,523,,,,,
105,2 / 26,Juan Carlos Roze Hnal,,55-59 M,00:47:58,00:46:22,,586,,,,,
106,9 / 47,Tomas Fusco,,18-24 M,00:46:25,00:46:23,,25,,,,,
107,3 / 26,Rajngewerc Sergio Ariel,,55-59 M,00:46:31,00:46:26,,542,,,,,
108,- / 32,Unknown,,0-0 M,00:46:50,00:46:26,,1228,,,,,
109,10 / 47,Ramos Facundo,,18-24 M,00:46:31,00:46:28,,720,,,,,
110,18 / 70,Sosa Hugo Ricardo,,35-39 M,00:46:44,00:46:39,,193,,,,,
111,13 / 53,Daniel Pinto,,45-49 M,00:47:08,00:46:46,,588,,,,,
112,20 / 81,Jose Leonardo Aguirre,,25-29 M,00:46:56,00:46:47,,415,,,,,
113,14 / 77,Meliqueo Nicolas,,30-34 M,00:46:56,00:46:47,,556,,,,,
114,21 / 81,Balverdi Juan,,25-29 M,00:47:14,00:46:49,,502,,,,,
115,22 / 81,Montiel Martin,,25-29 M,00:48:15,00:46:50,,1337,,,,,
