overall_rank,div_rank,Nombre,Apellido,Categoria,tiempo oficial,tiempo neto,sexo,bib,nationality,swim,bike,run_first,run_last
116,,Pablo,Gerhold,,1.58.22,1.58.22,,,ARG,,,,
117,,VICENTE,ARCONDO,,2.00.30,2.00.30,,,ARG,,,,
118,,ALBERTO,FIGUERAS,,2.00.48,2.00.48,,,ARG,,,,
119,,ANGEL,DIAZ,,2.01.00,2.01.00,,,ARG,,,,
120,,CELESTE,ORELLANA,,2.01.10,2.01.10,,,ARG,,,,
121,,FABIO,VILLANI,,2.01.25,2.01.25,,,ARG,,,,
122,,Fernando,Quinelli,,2.03.29,2.03.29,,,ARG,,,,
123,,JUAN,SUAREZ,,2.04.45,2.04.45,,,ARG,,,,
124,,MARIA,AYALA,,2.05.02,2.05.02,,,ARG,,,,
125,,DAMIAN,MACCIOLA,,2.05.22,2.05.22,,,ARG,,,,
126,,WALTER,BONETTI,,2.06.23,2.06.23,,,ARG,,,,
127,,Jorge,Agullo,,2.06.50,2.06.50,,,ARG,,,,
128,,LORENZO,CORCHERO,,2.08.10,2.08.10,,,ARG,,,,
129,,Alan,Gidekel,,2.08.30,2.08.30,,,ARG,,,,
130,,Girard,Penna,,2.12.55,2.12.55,,,ARG,,,,
131,,Daniel,Martinez,,2.14.00,2.14.00,,,ARG,,,,
132,,Juan,Carrizo,,2.16.30,2.16.30,,,ARG,,,,
133,,Daniela,MATURANO,,2.18.10,2.18.10,,,ARG,,,,
134,,VERONICA,CALVO,,2.19.50,2.19.50,,,ARG,,,,
135,,HUGO,MICCHIA,,2.20.20,2.20.20,,,ARG,,,,
136,,MELINA,RABINOVICH,,2.26.05,2.26.05,,,ARG,,,,
137,,Doris,Insaurralde,,2.29.30,2.29.30,,,ARG,,,,
138,,Hernan,De Diego,,DNF,DNF,,,ARG,,,,
139,,MARIA,CERUTTI,,DNF,DNF,,,ARG,,,,
140,,SEBASTIAN,SUCARI,,DNF,DNF,,,ARG,,,,
